id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
370630001011,19104375,20397875,23061484,20077716,19683664,23447333,24451656,20769750,30359499,38598154,41682690,46344012
370630001012,26736204,26728422,23104935,21116085,20509296,27572602,26272990,31575726,43342200,70308361,65041047,61013455
370630001021,28880915,32150313,38411170,34795780,37079006,42216691,35438566,35256663,36764358,20803738,22176552,26841076
370630001022,31424770,30870440,30018330,34063254,33837400,35382036,34924500,35279985,36911625,18745931,19011362,20405626
370630002001,13161771,11825000,11361040,13864851,14346250,13790250,14042327,13052684,,12125574,27239207,24829656
370630002002,13689693,12181122,13862856,11956847,13422656,12734272,17078146,18608122,19836620,20365378,27239207,24829656
370630002003,24948504,19339625,20972000,33323125,21863088,26657807,27159999,27011625,36755469,34806636,30286522,45107280
370630003011,15887718,17311318,18842964,16184788,13320351,12993750,14748828,19253980,17672928,25507728,27578772,34735411
370630003012,16636774,10195003,15613345,11586174,9602420,11542250,15760470,11537547,12078330,,,
370630003013,14530625,12533670,12617235,13278375,12880000,18418974,18112500,23010000,20275572,22118631,30684852,37559808
370630003021,26580859,28834410,21995000,21747878,26323590,32281882,36615788,37824072,46611786,48827830,63498379,53405000
370630003022,28990104,30054390,21739984,22975959,27811776,29434002,26635887,43771572,38638059,37236375,34719840,39424944
370630003023,15737988,17171340,22426040,23020139,24801504,26034140,32129000,39187941,45317354,47917125,52163832,52505625
370630004011,20417717,27058800,22971344,26345746,27808375,28359320,30059208,36814113,41742576,41541421,43538549,48468247
370630004012,26274933,33100836,35028688,37855000,38168262,34516090,36561624,38190000,45736446,38201545,45600308,45942256
370630004013,35550192,26622000,20570625,27467440,31065000,36892738,36075000,38581063,40543500,39029375,39784795,39011400
370630004021,46068726,43200000,33834454,41542848,48255380,46922400,55630368,60650250,64578000,28607988,32068040,35160162
370630005001,1554820,1482971,630036,683256,,1890000,2304000,1901250,2081295,4534754,5572319,5333599
370630005002,6536418,9342651,8156361,6939660,9460000,9281250,14119252,17354603,15876470,15984080,21621600,21104825
370630005003,12823465,12208924,9958476,9983844,10733348,14010856,13618857,14879892,17988750,19192356,22165000,23355824
370630005004,6177897,7500000,7779888,9620835,14645881,16344042,20590416,22962173,18067698,15006348,15142028,18046800
370630006001,50559684,56398790,49352400,52417162,43931985,46415556,51763724,49298481,54482204,91210090,98312802,123969922
370630006002,41422644,34895324,29853465,28911652,33074356,30124224,33708672,39780750,41483540,18974208,23805256,22013046
370630006003,26966856,24201834,19232100,22728750,25668110,29126064,25366250,23417100,,18974208,27176300,22013046
370630007001,9544312,11520060,10730070,11402016,11276942,12776690,14247418,21686847,30660000,35552718,43759260,68871000
370630007002,25129832,24975000,27539255,27882002,30059815,35162715,39645414,51956476,58290000,62712960,57294164,69672580
370630007003,27781614,38306814,35395785,37150407,28100275,41839050,43457176,40150920,54204311,62787816,55471182,58241506
370630009001,8288864,8600000,9541383,8099500,7378652,7706011,10788232,10151167,9863700,9790710,,17452281
370630009002,5435187,5215158,6177990,8946998,10962054,10577600,11364384,9684927,12514244,22121250,28501734,38798228
370630010011,13826120,12999600,11440000,16566013,11951536,14130072,12579250,12225968,15044972,19462976,13159860,18215712
370630010012,5949933,5526752,4576530,10043591,10185625,11660335,13108665,14957894,13539350,10024704,9003792,10089771
370630010013,8446165,10372662,13131730,18746237,18318040,17985875,19011216,19553808,16292178,14451220,19013856,18424638
370630010021,20092640,21607506,22643465,23069495,24126079,29042035,25518021,17110290,20796692,12564765,9423834,13139223
370630010022,3808550,5018844,8125624,9957492,8669455,7916727,,6599500,5246208,8095066,,27177120
370630010023,8522640,8615484,9709686,10424990,10807875,5916240,10164808,10764160,9427025,12070000,13679736,8121426
370630010024,10658544,9860400,8523730,12795664,12828771,15010190,16469988,16665802,15615920,13707589,12375132,22404666
370630011001,8169500,11497299,11387530,12445708,13785102,16352800,18443768,18038020,18294255,9714388,10728630,9438417
370630011002,10868193,9691297,10719426,11066014,11177640,10954412,12004839,11821020,13406506,10393800,14157780,14795140
370630013011,6657336,8311950,8174375,10008414,12398364,12925676,14932381,16964640,17203869,13351413,15881040,18194430
370630013031,10901862,8093088,11163180,10199675,12887700,10047983,10624000,9310224,13050000,14040057,18034745,20506806
370630013032,6949232,6037500,9033750,8367220,9646500,7779099,7181800,12222388,10400850,22088066,23236395,31350000
370630013041,23382049,21197406,23122024,22968904,22870717,24434579,27056250,33891082,36034416,18711075,19575343,28688329
370630014001,7541835,7532468,6098240,7160125,7821723,8515878,6810762,6928600,5599970,21619937,19336602,21372715
370630014002,10458531,12137244,12297393,9478500,9769200,11678112,9526848,9083879,15056469,14034236,23460710,27356121
370630015011,286380,330798,344581,378701,282317,368760,348750,,,,,
370630015021,25139338,25580100,22838517,29565221,29930642,31175088,34881862,36006100,29356809,22859191,22432458,17443342
370630015022,3863080,6650424,12017500,12525568,18171000,17845180,16703736,17063880,17328936,21313390,22803380,26257802
370630015023,22891352,22320583,22957992,23664960,22575800,25812864,28387491,31482500,32277000,18635616,20867260,24532113
370630015024,4299725,3184577,4163979,4180110,,,,,,14859810,,
370630015031,,,,,,,,,,,,
370630016011,33959952,31200000,34429662,32280855,42465950,36913591,45065724,42107615,32563392,28667002,31389702,33597088
370630016012,81948200,78643032,82531592,86412604,83162640,98690690,100285240,99852000,93188324,43293370,37352855,38482362
370630016013,30094460,31560048,35451188,44586250,46658205,44987296,42506208,42763584,42442286,30179198,34714165,39735722
370630016031,14571043,12868248,12282750,16369188,17395000,20510934,20250100,21653240,18498018,51199214,73297914,59767201
370630016032,78510460,76130709,83951184,78277545,81163369,81985062,81289866,80213325,99287372,49423912,49517459,55128031
370630016033,32278085,33414696,28384288,27900434,30653480,27346176,29846886,28013520,26643692,24215638,29116995,29281014
370630016034,65428460,61480494,59463750,56282997,58583940,62722725,71117184,101328849,103964328,55233731,39957182,35761366
370630016041,63649217,66482500,65532258,53129102,63018375,61158900,65391458,72339435,90105785,64048675,36876915,45830995
370630016042,105516010,103594944,105316650,105417408,109547459,109794247,132561187,138496862,120648352,59002275,53323407,53428045
370630016043,44640000,47804400,49928960,52577980,59068112,62269783,68171987,66791166,60236865,25900616,35689572,35161126
370630017051,32963106,34479870,29897510,30582129,44494004,42900100,41663160,46160333,63047232,25333206,42013695,46191931
370630017052,34830324,38260540,39484544,48833536,48064512,51633484,52903125,62086500,59640448,46117545,38313761,32381872
370630017053,24826800,24327500,32497632,35687344,34385540,38643312,34771698,33057180,34403072,28428525,37346940,44544992
370630017061,37376824,41060896,47777815,49739031,49096296,57030180,69361812,70977261,91071960,31394108,33685217,41325255
370630017062,51008750,48290250,50550984,47319818,54185928,53529625,53716294,55959168,55406723,48552527,56130128,71456957
370630017071,35197436,36397500,40500000,43296792,43202615,36383170,33176420,35438142,37006760,45093750,54215690,60416111
370630017072,44870976,42857115,48762000,48774502,48909798,49372715,52731936,45931990,72953946,35026901,59003748,30430692
370630017073,22286616,20715852,16789500,15840000,9934106,13630625,11174940,15828669,16405250,22927164,21592836,24528000
370630017074,51289060,55480304,45284608,54055272,51667246,55228060,60073385,63104000,69358977,51753632,60896865,68310144
370630017075,51734176,58945323,59221250,56736348,56217282,60559166,83119530,86952572,99812250,50435774,59897901,61899061
370630017081,66851120,77514876,83797300,97346301,99945220,98290947,97867319,96912731,98673354,36961321,31150120,33007544
370630017091,9114368,13475938,14295536,8252772,,11512683,7596116,,20752750,17737478,22745093,20939067
370630017092,13697915,10971604,6719220,4986690,7658422,10401492,13346750,15159375,12484406,14985697,16345740,19869872
370630017093,41162814,44503209,40618160,41897142,41149248,47476359,59809930,66822493,72696989,14376764,14636215,21956998
370630017101,56413314,62547500,66937696,55606519,51430036,59571600,60893272,58288960,57612936,34172042,42451922,43809725
370630017102,16500121,17574381,20754362,23798592,21802160,22897784,24619518,28153268,28443690,33123684,41611334,29191552
370630017111,14029989,19305588,17767000,21987761,20331080,24500000,27972000,31059005,28892017,57369279,39917010,42983887
370630017112,22839270,21826300,19925064,21373646,24184593,23289504,29537778,30207408,32708291,29436090,39917010,42983887
370630017113,25573560,24340578,24421320,22882113,24674313,31072804,30433600,31344402,32562650,23616287,23800089,28079733
370630018011,41024623,34588912,48216612,66642128,69905365,51203423,53061012,48957156,49597255,16128590,24022527,24761900
370630018012,4659844,4549389,5438895,9689470,7764540,13198248,11104839,13095816,17350800,17869392,19739997,21232371
370630018013,46267328,67747635,71764048,71073264,57047328,67891286,51842140,52617767,47717235,28910892,36205337,39402493
370630018014,14039559,17452576,15683638,14901894,11555380,7373376,11722843,26040055,32140710,29455539,34041296,43363570
370630018015,10899630,9077508,8898669,9537500,12080398,9776040,9680160,9889216,8599500,23659845,28082445,25901703
