"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018"
37063000101,53700078,51150542,53475145,49158052,51067800,63769924,69583064,72011016
37063000102,78460720,84825325,95051231,97665240,99256850,105377316,101008440,94948128
37063000200,72686510,68191636,69523061,67656888,69672790,74506717,88909372,97393344
37063000301,51146110,49160974,54083952,52931076,52834056,61168206,64651510,67335306
37063000302,114947900,112629936,118742892,112044548,117650306,128492866,145985510,162683444
37063000401,102342702,103849925,106133496,113285656,116885274,120935645,127907370,137967624
37063000402,57243537,55248648,50876184,55249320,63016801,63647298,76415430,82086346
37063000500,41194443,46629192,43901494,46995128,54926169,56953390,65097870,81148304
37063000600,148284036,158580312,142769520,144200616,164262264,177477432,198046626,215850411
37063000700,112201036,123657468,125543067,127174113,133318800,153403796,163076025,181645038
37063000900,19879800,19381570,23313836,24534944,27942016,26752617,30696495,30506952
37063001001,37759744,42681330,46792246,59475167,57866120,59903622,57357090,60629624
37063001002,55206144,58358742,61742572,67462065,69678000,68861472,81154242,67400477
37063001100,21659905,26887410,29733125,32124846,37548765,42138050,44662000,46008500
37063001301,11981850,13837880,12518352,16308261,21647460,20373760,20344800,25374936
37063001303,30789720,29097346,32314560,31583286,36801765,34419735,34549496,37885560
37063001304,31728996,30371550,35664552,38990262,36569860,39231306,41375295,48257734
37063001400,28549664,28747856,44036996,44543776,40043880,42535286,48020125,22151715
37063001501,14913985,12406338,10002535,8541302,7881244,3804677,2959792,3260022
37063001502,76839312,78618640,81796905,89536370,101110818,107435900,112489461,119376702
37063001503,7670700,4430010,3710556,3670016,2574148,2003240,1682226,1737840
37063001601,186251192,177410412,180683212,188398560,181415850,186525912,213116882,218777168
37063001603,205623515,200961918,206785932,216582861,221502060,230893168,248581232,288591934
37063001604,250240208,250328268,260380050,251858022,266851152,271957988,302398992,302679816
37063001705,154500352,163998560,150525156,174290940,192056335,205380162,200559632,197848200
37063001706,130631900,130596350,149562911,143981065,178391224,183588741,194642660,199530480
37063001707,294638462,306382875,307656375,313056224,322358336,335241452,352052960,351895266
37063001708,82122788,115182480,127212796,127917790,132009562,146759260,139268330,134899159
37063001709,78260280,86163235,79101342,80094828,86680062,93340047,99415804,121206826
37063001710,91162755,89685519,91692936,92271528,85953732,89529668,94990758,99530975
37063001711,79240128,78665015,77873019,81475632,83002000,87687600,97459140,108031896
37063001801,131774253,142740056,161535264,187159296,181148968,183783912,167709563,179168670
37063001802,111369492,112579715,118314987,117792600,108930302,113874012,122845842,122326135
37063001806,132346830,136000738,140152740,137782750,141486864,155473580,164575886,170434085
37063001807,221965813,217491300,229986018,222655368,221446944,263597247,308224000,329045625
37063001808,160025247,178931116,192633800,222601276,254924052,299690812,371485476,412892256
37063001809,162609885,166693518,183609992,163699041,180496464,201189192,206507504,187906950
37063001900,85008063,82791286,91644696,100506472,115227959,124833786,148672368,190164576
37063002007,194284404,198699837,196653432,185971455,205061376,211750675,224330328,230006856
37063002008,199670778,206869600,244120626,269598252,268967160,275145528,282565386,265992960
37063002009,91653270,99813192,90810360,89801100,92740389,84637835,82910088,83615168
37063002013,139289670,146246210,147865220,142976987,146648145,151979100,160278774,171866350
37063002015,125225232,129903909,131266193,146264832,148986222,157674210,150759868,148545008
37063002016,101140494,113007740,111171170,112066227,114151810,120196263,120738943,134993330
37063002017,305421184,306304187,315958851,328499766,362874600,366365265,400257450,428002785
37063002018,349087790,378139488,415799294,438034968,430719828,449018284,544048223,545279777
37063002019,172826460,187626240,226560180,227032000,223601500,256610900,268545144,263529312
37063002020,278799620,280116613,291264000,323708380,333891152,357019765,380114485,422628007
37063002021,145483184,139768151,159731750,163430906,165777612,177900768,206842230,189905272
37063002022,146055470,167331168,180078213,192452532,187848120,207969056,198803232,198374770
37063002023,94003030,101344628,122694621,118351129,125417304,131129120,137726760,137056875
37063002024,269563320,275327276,284602361,304542502,296814511,303954560,322137725,309286728
37063002025,176647120,192929220,189121149,204868750,214000164,237532630,243202850,248893824
37063002026,112657473,110425910,119681512,132456297,140731785,147177750,165840059,182067808
37063002027,192967995,201588968,208202736,214731466,231410018,231496758,266062270,305557145
37063002028,198053262,221252272,225284850,258626135,309187116,337883740,390501243,480226848
37063002100,302140176,342272616,370207084,362118888,329415128,346432460,323069488,302955228
37063002200,50449392,61463952,76957035,83408225,83176254,78670120,80700899,94062930
37063002300,10759982,10794402,12046489,10493460,13983060,15347528,16147962,25457777
37063980100,,3956886,2999070,,,,,
