"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018"
"37063000101",12,21,45,24,24,43,55,56
"37063000102",73,72,71,75,73,33,43,43
"37063000200",68,49,62,73,58,49,68,151
"37063000301",37,54,42,48,47,73,54,59
"37063000302",84,120,179,177,132,145,156,191
"37063000401",158,89,115,138,135,141,164,215
"37063000402",133,123,131,149,108,102,147,129
"37063000500",19,51,61,64,85,123,78,82
"37063000600",219,215,112,215,263,200,172,235
"37063000700",121,68,47,88,102,138,144,126
"37063000900",0,0,0,0,0,0,0,7
"37063001001",0,22,53,47,53,56,41,9
"37063001002",128,94,0,0,0,0,0,0
"37063001100",20,21,30,19,36,58,75,72
"37063001301",0,0,0,1,2,6,18,18
"37063001303",59,60,115,151,188,191,188,204
"37063001304",19,20,38,34,28,21,18,4
"37063001400",0,20,29,26,23,42,23,22
"37063001501",26,40,73,66,68,61,48,27
"37063001502",0,0,0,0,0,0,0,22
"37063001503",32,54,33,55,74,76,63,60
"37063001601",137,100,152,158,169,184,153,128
"37063001603",117,103,135,120,123,129,140,149
"37063001604",201,184,197,190,218,204,231,200
"37063001705",152,130,88,31,25,47,128,141
"37063001706",66,96,80,93,94,98,54,81
"37063001707",197,243,273,262,266,292,305,258
"37063001708",65,90,99,102,115,58,51,55
"37063001709",32,64,58,68,80,58,29,44
"37063001710",95,122,29,44,36,77,91,109
"37063001711",0,14,41,40,45,48,28,55
"37063001801",79,69,83,131,109,106,145,140
"37063001802",101,88,142,129,76,71,112,110
"37063001806",42,77,81,34,58,44,58,129
"37063001807",224,156,144,154,157,131,170,186
"37063001808",157,160,187,174,224,310,349,308
"37063001809",62,74,83,118,105,111,115,135
"37063001900",69,59,55,50,84,71,74,130
"37063002007",166,215,299,177,233,213,196,114
"37063002008",97,135,126,140,104,128,112,113
"37063002009",62,58,36,34,52,30,26,25
"37063002013",93,106,134,164,182,152,170,213
"37063002015",3,28,41,28,104,124,103,124
"37063002016",31,52,33,33,31,33,0,14
"37063002017",225,275,274,248,333,406,298,312
"37063002018",199,253,307,324,309,311,274,272
"37063002019",112,83,105,139,157,205,253,252
"37063002020",284,305,315,294,346,326,375,514
"37063002021",212,175,148,88,83,29,83,100
"37063002022",53,52,35,57,92,124,173,206
"37063002023",69,93,65,78,106,153,125,148
"37063002024",374,288,292,316,326,293,358,252
"37063002025",135,81,116,142,265,250,281,230
"37063002026",27,35,54,56,98,104,183,209
"37063002027",12,47,93,78,205,206,229,294
"37063002028",77,103,109,96,151,182,224,291
"37063002100",85,108,136,144,128,142,140,211
"37063002200",20,22,59,63,71,80,108,114
"37063002300",0,0,0,0,0,0,0,0
"37063980100",0,0,0,0,0,0,0,0
